name,       day,        hour,   minute

Monday #0,    Monday,     00,     00
Monday #1,    Monday,     00,     30
Monday #2,    Monday,     01,     00
Monday #3,    Monday,     01,     30
Monday #4,    Monday,     02,     00
Monday #5,    Monday,     02,     30
Monday #6,    Monday,     03,     00
Monday #7,    Monday,     03,     30
Monday #8,    Monday,     04,     00
Monday #9,    Monday,     04,     30
Monday #10,   Monday,     05,     00
Monday #11,   Monday,     05,     30
Monday #12,   Monday,     06,     00
Monday #13,   Monday,     06,     30
Monday #14,   Monday,     07,     00
Monday #15,   Monday,     07,     30
Monday #16,   Monday,     08,     00
Monday #17,   Monday,     08,     30
Monday #18,   Monday,     09,     00
Monday #19,   Monday,     09,     30
Monday #20,   Monday,     10,     00
Monday #21,   Monday,     10,     30
Monday #22,   Monday,     11,     00
Monday #23,   Monday,     11,     30
Monday #24,   Monday,     12,     00
Monday #25,   Monday,     12,     30
Monday #26,   Monday,     13,     00
Monday #27,   Monday,     13,     30
Monday #28,   Monday,     14,     00
Monday #29,   Monday,     14,     30
Monday #30,   Monday,     15,     00
Monday #31,   Monday,     15,     30
Monday #32,   Monday,     16,     00
Monday #33,   Monday,     16,     30
Monday #34,   Monday,     17,     00
Monday #35,   Monday,     17,     30
Monday #36,   Monday,     18,     00
Monday #37,   Monday,     18,     30
Monday #38,   Monday,     19,     00
Monday #39,   Monday,     19,     30
Monday #40,   Monday,     20,     00
Monday #41,   Monday,     20,     30
Monday #42,   Monday,     21,     00
Monday #43,   Monday,     21,     30
Monday #44,   Monday,     22,     00
Monday #45,   Monday,     22,     30
Monday #46,   Monday,     23,     00
Monday #47,   Monday,     23,     30

Tuesday #0,    Tuesday,     00,     00
Tuesday #1,    Tuesday,     00,     30
Tuesday #2,    Tuesday,     01,     00
Tuesday #3,    Tuesday,     01,     30
Tuesday #4,    Tuesday,     02,     00
Tuesday #5,    Tuesday,     02,     30
Tuesday #6,    Tuesday,     03,     00
Tuesday #7,    Tuesday,     03,     30
Tuesday #8,    Tuesday,     04,     00
Tuesday #9,    Tuesday,     04,     30
Tuesday #10,   Tuesday,     05,     00
Tuesday #11,   Tuesday,     05,     30
Tuesday #12,   Tuesday,     06,     00
Tuesday #13,   Tuesday,     06,     30
Tuesday #14,   Tuesday,     07,     00
Tuesday #15,   Tuesday,     07,     30
Tuesday #16,   Tuesday,     08,     00
Tuesday #17,   Tuesday,     08,     30
Tuesday #18,   Tuesday,     09,     00
Tuesday #19,   Tuesday,     09,     30
Tuesday #20,   Tuesday,     10,     00
Tuesday #21,   Tuesday,     10,     30
Tuesday #22,   Tuesday,     11,     00
Tuesday #23,   Tuesday,     11,     30
Tuesday #24,   Tuesday,     12,     00
Tuesday #25,   Tuesday,     12,     30
Tuesday #26,   Tuesday,     13,     00
Tuesday #27,   Tuesday,     13,     30
Tuesday #28,   Tuesday,     14,     00
Tuesday #29,   Tuesday,     14,     30
Tuesday #30,   Tuesday,     15,     00
Tuesday #31,   Tuesday,     15,     30
Tuesday #32,   Tuesday,     16,     00
Tuesday #33,   Tuesday,     16,     30
Tuesday #34,   Tuesday,     17,     00
Tuesday #35,   Tuesday,     17,     30
Tuesday #36,   Tuesday,     18,     00
Tuesday #37,   Tuesday,     18,     30
Tuesday #38,   Tuesday,     19,     00
Tuesday #39,   Tuesday,     19,     30
Tuesday #40,   Tuesday,     20,     00
Tuesday #41,   Tuesday,     20,     30
Tuesday #42,   Tuesday,     21,     00
Tuesday #43,   Tuesday,     21,     30
Tuesday #44,   Tuesday,     22,     00
Tuesday #45,   Tuesday,     22,     30
Tuesday #46,   Tuesday,     23,     00
Tuesday #47,   Tuesday,     23,     30

Wednesday #0,    Wednesday,     00,     00
Wednesday #1,    Wednesday,     00,     30
Wednesday #2,    Wednesday,     01,     00
Wednesday #3,    Wednesday,     01,     30
Wednesday #4,    Wednesday,     02,     00
Wednesday #5,    Wednesday,     02,     30
Wednesday #6,    Wednesday,     03,     00
Wednesday #7,    Wednesday,     03,     30
Wednesday #8,    Wednesday,     04,     00
Wednesday #9,    Wednesday,     04,     30
Wednesday #10,   Wednesday,     05,     00
Wednesday #11,   Wednesday,     05,     30
Wednesday #12,   Wednesday,     06,     00
Wednesday #13,   Wednesday,     06,     30
Wednesday #14,   Wednesday,     07,     00
Wednesday #15,   Wednesday,     07,     30
Wednesday #16,   Wednesday,     08,     00
Wednesday #17,   Wednesday,     08,     30
Wednesday #18,   Wednesday,     09,     00
Wednesday #19,   Wednesday,     09,     30
Wednesday #20,   Wednesday,     10,     00
Wednesday #21,   Wednesday,     10,     30
Wednesday #22,   Wednesday,     11,     00
Wednesday #23,   Wednesday,     11,     30
Wednesday #24,   Wednesday,     12,     00
Wednesday #25,   Wednesday,     12,     30
Wednesday #26,   Wednesday,     13,     00
Wednesday #27,   Wednesday,     13,     30
Wednesday #28,   Wednesday,     14,     00
Wednesday #29,   Wednesday,     14,     30
Wednesday #30,   Wednesday,     15,     00
Wednesday #31,   Wednesday,     15,     30
Wednesday #32,   Wednesday,     16,     00
Wednesday #33,   Wednesday,     16,     30
Wednesday #34,   Wednesday,     17,     00
Wednesday #35,   Wednesday,     17,     30
Wednesday #36,   Wednesday,     18,     00
Wednesday #37,   Wednesday,     18,     30
